2,시간,time
3,년,year
4,일,thing
5,방법,way
6,하루,day
7,사람,man
8,상태,state
9,많은,lot
10,여자,woman
11,국가,country
12,생활,life
13,질문,question
14,대통령,president
15,아이,child
16,주,week
17,세계,world
18,종류,kind
19,경우,case
20,문제,problem
21,사실,fact
22,가족,family
23,이야기,story
24,포인트,point
25,정부,government
26,돈,money
27,문제,issue
28,부분,part
29,아침,morning
30,사람,guy
31,수,number
32,작업,job
33,밤,night
34,오른쪽,right
35,학교,school
36,장소,place
37,전쟁,war
38,아이,kid
39,달,month
40,책,book
41,시간,hour
42,쇼,show
43,경찰,police
44,프로그램,program
45,파티,party
46,법,law
47,단어,word
48,사람,person
49,홈,home
50,사업,business
51,친구,friend
52,회사,company
53,측면,side
54,세금,tax
55,민주당,democrat
56,그룹,group
57,순간,moment
58,휴식,break
59,아이디어,idea
60,회원,member
61,시스템,system
62,분,minute
63,이유,reason
64,캠페인,campaign
65,작업,work
66,국가,nation
67,의회,congress
68,어머니,mother
69,힘,force
70,건강,health
71,다시,back
72,지역,area
73,이름,name
74,보고서,report
75,손,hand
76,선,line
77,말,end
78,법원,court
79,치료,care
80,부부,couple
81,집,house
82,미국,american
83,아버지,father
84,상황,situation
85,자동차,car
86,부모,parent
87,관리,administration
88,약물,drug
89,도시,city
90,의미,sense
91,정책,policy
92,사무실,office
93,결정,decision
94,전원,power
95,계획,plan
96,리더,leader
97,정보,information
98,선거,election
99,영화,movie
100,죽음,death
101,공기,air
102,전화,call
103,지역 사회 ..... jiyeog,community
104,모양,look
105,증거,evidence
106,소녀,girl
107,의사,doctor
108,투표,vote
109,비디오,video
110,사진,picture
111,방,room
112,비트,bit
113,경제,economy
114,전화,phone
115,역사,history
116,정렬,sort
117,소년,boy
118,범죄,crime
119,과정,process
120,아내,wife
121,음악,music
122,물,water
123,서비스,service
124,기록,record
125,보안,security
126,이야기,talk
127,마음,mind
128,머리,head
129,후보,candidate
130,공식,official
131,카메라,camera
132,학생,student
133,공격,attack
134,기회,chance
135,게임,game
136,아기,baby
137,남쪽,south
138,변경,change
139,재판,trial
140,몸,body
141,시장,market
142,물건,stuff
143,관심,interest
144,무기,weapon
145,심장,heart
146,아들,son
147,팀,team
148,마을,town
149,텔레비전,television
150,의지,will
151,군대,troop
152,판사,judge
153,작업,action
154,답변,answer
155,위치,position
156,보기,view
157,차이,difference
158,음식,food
159,딸,daughter
160,레이스,race
161,거래,deal
162,거리,street
163,가격,price
164,메시지,message
165,제어,control
166,토론,debate
167,경찰,officer
168,필름,film
169,수준,level
170,노력,effort
171,관계,relationship
172,특파원,correspondent
173,땅,ground
174,조각,piece
175,남편,husband
176,예산,budget
177,배심원,jury
178,기자,reporter
179,주말,weekend
180,문제,matter
181,나이,age
182,총,gun
183,평화,peace
184,살인,murder
185,역할,role
186,조사,investigation
187,경험,experience
188,병원,hospital
189,눈,eye
190,감독,director
191,미래,future
192,얼굴,face
193,오일,oil
194,결과,result
195,공개,public
196,변호사,lawyer
197,설문 조사 ..... seolmun,poll
198,두 번째 ..... du,second
199,기회,opportunity
200,업계,industry
201,형제,brother
202,문,statement
203,화재,fire
204,사랑,love
205,속도,rate
206,효과,effect
207,노래,song
208,이벤트,event
209,충전,charge
210,지원,support
211,라디오,radio
212,건물,building
213,은행,bank
214,피해자,victim
215,문,door
216,인터뷰,interview
217,장면,scene
218,나머지,rest
219,언론,press
220,관심,attention
221,선택,choice
222,연설,speech
223,환자,patient
224,진실,truth
225,도로,road
226,용어,term
227,사이트,site
228,노동자,worker
229,교수,professor
230,편지,letter
231,개혁,reform
232,관심,concern
233,민속,folk
234,섹스,sex
235,연구,study
236,대학,college
237,유권자,voter
238,벽,wall
239,저녁,evening
240,회의,meeting
241,음성,voice
242,관객,audience
243,폭력,violence
244,규칙,rule
245,스타,star
246,테스트,test
247,교육,education
248,문제,trouble
249,위험,risk
250,감옥,prison
251,게스트,guest
252,클래스,class
253,사회,society
254,군인,soldier
255,비행기,plane
256,양,amount
257,도움,help
258,비용,cost
259,권한,authority
260,발,foot
261,기간,period
262,느낌,feeling
263,단계,step
264,원인,cause
265,테이프,tape
266,위협,threat
267,의견,opinion
268,조직,organization
269,유형,type
270,대화,conversation
271,질병,disease
272,작업,operation
273,암,cancer
274,잡지,magazine
275,주지사,governor
276,압력,pressure
277,대부분의,majority
278,연구,research
279,캐릭터,character
280,역,station
281,위기,crisis
282,전문가,expert
283,혈액,blood
284,회장,chairman
285,인수,argument
286,목록,list
287,개,dog
288,컴퓨터,computer
289,시작,beginning
290,보험,insurance
291,필드,field
292,자매,sister
293,실수,mistake
294,플레이어,player
295,에너지,energy
296,종이,paper
297,공간,space
298,가게,store
299,계약,agreement
300,책임,responsibility
301,여성,lady
302,순서,order
303,여름,summer
304,제품,product
305,값,value
306,주식,stock
307,정보,intelligence
308,교사,teacher
309,기관,agency
310,무역,trade
311,회의,conference
312,셀,cell
313,교회,church
314,코멘트,comment
315,소스,source
316,지난,past
317,절단,cut
318,생각,thought
319,신용,credit
320,희망,hope
321,로그인,sign
322,경력,career
323,결혼,marriage
324,조건,condition
325,증인,witness
326,기술,technology
327,무대,stage
328,직원,staff
329,팔,arm
330,임무,mission
331,예술,art
332,배우,actor
333,전투,battle
334,상단,top
335,시민,citizen
336,저자,author
337,반응,reaction
338,신사,gentleman
339,리더십,leadership
340,공포,fear
341,예를,example
342,언어,language
343,필요,need
344,정의,justice
345,토론,discussion
346,경계,border
347,동물,animal
348,세부 사항 ..... sebu,detail
349,응답,response
350,네트워크,network
351,운동,movement
352,사용,use
353,남성,male
354,자본,capital
355,청문회,hearing
356,표준,standard
357,이익,benefit
358,테이블,table
359,치료,treatment
360,에이전트,agent
361,카드,card
362,샷,shot
363,보드,board
364,현실,reality
365,선생님,sir
366,땅,land
367,프로젝트,project
368,빛,light
369,이미지,image
370,세기,century
371,페이지,page
372,성공,success
373,소리,sound
374,충격,impact
375,고통,pain
376,계절,season
377,개별,individual
378,스포츠,sport
379,스튜디오,studio
380,십,decade
381,도전,challenge
382,꿈,dream
383,신문,newspaper
384,바닥,floor
385,싸움,fight
386,안전,safety
387,행위,act
388,여행,trip
389,과정,course
390,가능성,possibility
391,자유,freedom
392,펀드,fund
393,좌석,seat
